FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
7/18/2022,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4067,MDW,"Chicago, IL",MSP,"Minneapolis, MN",1408,1806,238,16,1822,1925,8,1541,1933,232,0,,0,93,87,63,349,0,232,0,0,0
2/27/2023,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,502,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",1203,1200,-3,16,1216,1445,12,1505,1457,-8,0,,0,122,117,89,641,,,,,
4/2/2023,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,57,SAN,"San Diego, CA",OGG,"Kahului, HI",910,934,24,18,952,1214,5,1215,1219,4,0,,0,365,345,322,2541,,,,,
11/28/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2540,MKE,"Milwaukee, WI",SRQ,"Sarasota/Bradenton, FL",915,912,-3,8,920,1240,4,1315,1244,-31,0,,0,180,152,140,1113,,,,,
5/8/2019,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,1048,LAX,"Los Angeles, CA",SEA,"Seattle, WA",700,654,-6,26,720,955,21,955,1016,21,0,,0,175,202,155,954,0,0,21,0,0
3/10/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1634,CLT,"Charlotte, NC",JFK,"New York, NY",1537,1539,2,17,1556,1718,7,1739,1725,-14,0,,0,122,106,82,541,,,,,
3/3/2022,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1337,MDW,"Chicago, IL",PHL,"Philadelphia, PA",1305,1317,12,9,1326,1547,4,1605,1551,-14,0,,0,120,94,81,668,,,,,
4/4/2022,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5028,BHM,"Birmingham, AL",LGA,"New York, NY",1553,1635,42,12,1647,1945,9,1921,1954,33,0,,0,148,139,118,866,24,0,0,0,9
3/17/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3862,SMF,"Sacramento, CA",AUS,"Austin, TX",800,759,-1,12,811,1312,4,1325,1316,-9,0,,0,205,197,181,1481,,,,,
3/15/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1,DAL,"Dallas, TX",HOU,"Houston, TX",700,656,-4,16,712,757,2,810,759,-11,0,,0,70,63,45,239,,,,,
